10000 4 4
342.08	742.449	366.809	159.461	57.37	936.762	231.309	692.631
815.931	114.243	346.853	897.6	311.138	786.379	453.198	436.449
799.752	518.535	310.346	227.649	975.697	52.736	767.46	116.884
299.292	444.106	336.532	160.797	501.438	826.524	285.688	301.458
506.18	23.422	481.984	350.002	769.093	315.181	690.303	335.255
910.883	5.943	577.888	826.268	590.155	186.657	624.52	299.173
280.822	439.409	615.629	507.359	195.325	537.429	457.543	677.847
101.537	202.588	943.497	762.117	187.166	189.016	874.599	434.278
478.114	606.298	827.641	395.91	402.755	373.425	243.497	275.592
18.94	265.258	833.505	211.615	949.609	472.205	457.1	905.784
741.731	401.604	889.478	353.332	304.208	150.345	495.356	922.168
491.366	298.717	171.748	636.854	766.478	337.654	720.486	142.605
579.633	930.66	485.533	328.978	293.381	617.165	339.526	261.631
768.361	279.445	548.894	467.509	197.636	455.637	340.217	958.254
602.492	586.599	832.814	310.299	473.946	207.837	338.285	528.099
651.906	362.912	825.106	483.746	936.276	183.089	436.208	750.685
63.282	812.61	84.598	349.931	450.243	908.377	126.616	469.81
202.873	827.085	600.186	124.673	481.467	486.258	872.549	230.099
623.582	988.252	4.496	863.944	415.485	184.299	511.749	392.087
617.46	834.797	18.126	447.238	277.687	435.512	393.959	383.176
184.487	343.481	383.633	720.091	331.608	251.723	539.093	270.665
623.366	394.679	3.324	805.275	497.045	594.783	478.736	335.183
66.593	595.755	784.481	369.365	417.652	756.47	967.556	392.414
390.035	812.384	428.283	651.772	387.661	468.961	193.443	760.188
974.767	219.399	917.155	138.028	947.975	220.621	193.695	527.972
487.478	696.187	621.52	563.904	510.196	483.108	465.822	712.255
718.998	204.475	603.162	281.907	704.832	906.43	337.908	306.744
182.362	842.947	998.232	419.14	599.775	117.765	678.666	790.148
467.663	404.753	467.295	220.662	382.811	970.156	454.817	403.579
706.571	728.545	174.289	726.482	900.615	434.784	342.81	322.801
444.856	591.467	192.981	950.6	498.764	687.062	45.079	928.037
343.395	807.183	619.73	462.799	277.986	241.809	728.08	11.411
576.857	581.971	673.483	111.125	558.787	866.621	129.421	802.225
724.785	464.83	298.083	591.214	416.158	907.257	486.175	321.913
